Security;EURUSD BGN Curncy                                               
Start Date;28/04/2017 00:00
End Date;29/04/2022 00:00
Period;M
Pricing Source;BGN
;
Date;PX_LAST
#NOM?;1,0539
31/03/2022;1,1067
28/02/2022;1,1219
31/01/2022;1,1235
31/12/2021;1,137
30/11/2021;1,1338
29/10/2021;1,1558
30/09/2021;1,158
31/08/2021;1,1809
30/07/2021;1,187
30/06/2021;1,1858
31/05/2021;1,2227
30/04/2021;1,202
31/03/2021;1,173
26/02/2021;1,2075
29/01/2021;1,2136
31/12/2020;1,2216
30/11/2020;1,1927
30/10/2020;1,1647
30/09/2020;1,1721
31/08/2020;1,1936
31/07/2020;1,1778
30/06/2020;1,1234
29/05/2020;1,1101
30/04/2020;1,0955
31/03/2020;1,1031
28/02/2020;1,1026
31/01/2020;1,1093
31/12/2019;1,1213
29/11/2019;1,1018
31/10/2019;1,1152
30/09/2019;1,0899
30/08/2019;1,0982
31/07/2019;1,1076
28/06/2019;1,1373
31/05/2019;1,1169
30/04/2019;1,1215
29/03/2019;1,1218
28/02/2019;1,1371
31/01/2019;1,1448
31/12/2018;1,1467
30/11/2018;1,1317
31/10/2018;1,1312
28/09/2018;1,1604
31/08/2018;1,1602
31/07/2018;1,1691
29/06/2018;1,1684
31/05/2018;1,1693
30/04/2018;1,2078
30/03/2018;1,2324
28/02/2018;1,2194
31/01/2018;1,2414
29/12/2017;1,2005
30/11/2017;1,1904
31/10/2017;1,1646
29/09/2017;1,1814
31/08/2017;1,191
31/07/2017;1,1842
30/06/2017;1,1426
31/05/2017;1,1244
28/04/2017;1,0895